FACILITY_NAME,GHGRP_ID,ADDRESS,LATITUDE,LONGITUDE,CITY,COUNTY NAME,STATE,ZIP,GHG_QUANTITY,TYPE
Arkansas Loop & Simpson Treating Plants,1001760,,37.0532,-107.7855,DURANGO,La Plata,CO,81303,200511,pe
Atmel Corporation,1009792,1150 E. Cheyenne Mountain Boulevard,38.789076,-104.805626,Colorado Springs,EL PASO,CO,80906,264292,pe
Avago Technologies,1008734,4380 Ziegler Road,40.5236,-105.02021,Fort Collins,LARIMER COUNTY,CO,80525,287709,pe
"BARGATH, INC.- PARACHUTE",1002943,,39.487297,-108.111356,"PARACHUTE, 3.4 MI NW OF",Garfield,CO,81635,233733,pe
BOULDER LANDFILL,1006661,1600 SOUTH 66TH STREET,39.95,-105.2,BOULDER,BOULDER,CO,80303,8557,pe
BOWIE NO. 2 MINE,1007215,43659 Bowie Road,38.93268,-107.54603,PAONIA,DELTA COUNTY,CO,81428,514703,pe
BROADACRE LANDFILL - FOUNTAIN LANDFILL,1006464,10000 SQUIRREL CREEK RD,38.679516,-104.628161,FOUNTAIN,EL PASO,CO,80817,59590,pe
Big Hole Compressor Station,1011077,37607 County Road 7,40.768594,-107.763621,Craig,MOFFAT COUNTY,CO,81625,559,pe
CARGILL MEAT SOLUTIONS CORPORATION,1000357,1505 EAST BURLINGTON AVENUE,40.2469,-103.7756,FORT MORGAN,MORGAN COUNTY,CO,80701,1625,pe
CEMEX CONSTRUCTION MATERIALS SOUTH LLC,1007877,5134 UTE HIGHWAY,40.202236,-105.236697,LYONS,BOULDER,CO,80540,207521,pe
CENTRAL WELD SANITARY LANDFILL,1003798,6037 E 77TH AVE,40.35201,-104.80878,GREELEY,WELD COUNTY,CO,80634,23479,pe
CF & I STEEL L P/ DBA ROCKY MOUNTAIN STEEL MILLS,1003902,2100 SOUTH FREEWAY,38.232627,-104.607257,PUEBLO,PUEBLO,CO,81004,150380,pe
"CIG Station 5320 Fort Lupton, CO",1010489,15732 Weld County Road 16,40.130922,-104.758947,Ft. Lupton,WELD,CO,80261,20842,pe
"CIG Station 5560 Kit Carson, CO",1001994,3073 US HIGHWAY 287,38.413345,-102.759485,EADS,KIOWA,CO,81036,9174,pe
"CIG Station 5610 Greasewood, CO",1008151,5200 County Road 3,39.854648,-108.105434,Rifle,GARFIELD,CO,81650,4779,pe
"CIG Station 5850 Cheyenne, CO",1002127,65657 Highway 85,40.908951,-104.892167,CARR,WELD,CO,80612,32,pe
"CIG Station 5950 Watkins, CO",1002061,24650 East Smith Road,39.745283,-104.698908,AURORA,ADAMS,CO,80019,12254,pe
Central Treating Facility,1004824,,39.8338,-108.2957,Meeker,Rio Blanco,CO,81641,52341,pe
"Colorado Natural Gas, Inc.",1005703,7810 Shaffer Pkwy Suite 120,39.57476,-105.13261,Littleton,JEFFERSON COUNTY,CO,80127,123663,pe
Colorado Springs Landfill,1008019,1010 Blaney Road,38.847491,-104.572053,Colorado Springs,EL PASO,CO,80929,173226,pe
Compressor Station 601,1002406,37500 County Rd 78,40.994389,-102.855976,Peetz,LOGAN,CO,80747,434,pe
Coyote Gulch Treating Plant,1001946,,37.0141,-108.0615,DURANGO,La Plata,CO,81301,121267,pe
DEBEQUE GAS PROCESSING FACILITY,1011635,,39.3269,-108.2431,De Beque,Mesa,CO,81630,3163,pe
DENVER ARAPAHOE DISPOSAL SITE-A WASTE MANAGEMENT COMPANY,1007709,3500 SOUTH GUN CLUB ROAD,39.64566,-104.70914,AURORA,ARAPAHOE COUNTY,CO,80018,52779,pe
DENVER REGIONAL LANDFILL,1005633,1441 WELD COUNTY ROAD 6,40.024535,-105.027726,ERIE,BOULDER,CO,80516,242127,pe
Denver Regional North Landfill,1007700,1441 Weld County Rd 6,40.024535,-105.027726,Erie,BOULDER,CO,80516,2973,pe
EAGLE COUNTY LANDFILL,1005844,815 Ute Creek Road ,39.72233,-106.66336,WOLCOTT,EAGLE,CO,81655,49864,pe
ENCANA OIL AND GAS USA - DRAGON TRAIL GAS PLANT - 08-103-00036,1003447,3606 COUNTY ROAD 116,39.859473,-108.915996,RANGELY,RIO BLANCO,CO,81648,17343,pe
EPNG Station 6210 Bondad,1002116,2227 County Road 318,37.096339,-107.769381,Ignacio,LA PLATA,CO,81137,3979,pe
FOOTHILLS LANDFILL,1006758,8900 93 HWY,39.850794,-105.227345,GOLDEN,JEFFERSON,CO,80403,27993,pe
FRONT RANGE LANDFILL,1003911,1830 WELD COUNTY ROAD 5,40.026864,-105.018265,ERIE,BOULDER,CO,80516,168471,pe
Florida River Gas Processing Facility,1003223,2906 CR 307,37.15639,-107.77978,Durango,LA PLATA,CO,81303,85450,pe
Fort Lupton Compressor Station,1001977,,40.1434,-104.7515,Brighton,Weld,CO,80601,66392,pe
GCC RIO GRANDE INC,1003067,3372 LIME ROAD,38.1507,-104.62595,PUEBLO,PUEBLO,CO,81004,654260,pe
GREELEY GAS PLANT,1006310,3009 WEST 49TH STREET,40.38812,-104.76003,GREELEY,WELD COUNTY,CO,80634,8445,pe
