"NAME","GHGRP_ID","ADDRESS","LATITUDE","LONGITUDE","CITY","COUNTY","STATE","ZIP","GHG_QUANTITY"
"AMERICAN GYPSUM COMPANY",1007404,"740 Highway #6",39.66067,-106.939169,"GYPSUM","EAGLE","CO",81637,55649
"ANHEUSER BUSCH INCORPORATED FORT COLLINS BREWERY",1003352,"2351 BUSCH DRIVE",40.619722,-105.006111,"FORT COLLINS","LARIMER","CO",80524,51003
"Arapahoe Combustion Turbine Facility",1001360,"2601 SOUTH PLATTE RIVER ROAD",39.6692,-105.0018,"DENVER","Denver","CO",80223,58691
"Arkansas Loop & Simpson Treating Plants",1001760,,37.0532,-107.7855,"DURANGO","La Plata","CO",81303,75195
"Atmel Corporation",1009792,"1150 E. Cheyenne Mountain Boulevard",38.789076,-104.805626,"Colorado Springs","EL PASO","CO",80906,16284
"Avago Technologies",1008734,"4380 Ziegler Road",40.5236,-105.02021,"Fort Collins","LARIMER COUNTY","CO",80525,10858
"BARGATH, INC- HYRUP PROD FACILITY",1002944,,39.369139,-108.06329,"PARACHUTE","Garfield","CO",81635,16342
"BARGATH, INC.- PARACHUTE",1002943,,39.487297,-108.111356,"PARACHUTE, 3.4 MI NW OF","Garfield","CO",81635,147772
"BROADACRE LANDFILL - FOUNTAIN LANDFILL",1006464,"10000 SQUIRREL CREEK RD",38.679516,-104.628161,"FOUNTAIN","EL PASO","CO",80817,11
"Bargath LLC - Crawford Trail CS",1002945,,39.503457,-108.184214,"Parachute","Garfield","CO",81635,28499
"Big Hole Compressor Station",1011077,"37607 County Road 7",40.768594,-107.763621,"Craig","MOFFAT COUNTY","CO",81625,2827
"Blue Spruce Energy Center",1000141,"1751 N POWHATON RD",39.7436,-104.68,"AURORA","Adams","CO",80019,266600
"Bondad Compressor Station",1001759,,37.0881,-107.8829,"DURANGO","La Plata","CO",81301,20305
"Brush Power Projects",1001224,"1500 S CLAYTON",40.2415,-103.631,"BRUSH","Morgan","CO",80723,22696
"CARESTREAM HEALTH INC.",1007717,"2000 HOWARD SMITH AVE WEST",40.4584,-104.87399,"WINDSOR","WELD COUNTY","CO",80550,30999
"CARGILL MEAT SOLUTIONS CORPORATION",1000357,"1505 EAST BURLINGTON AVENUE",40.2469,-103.7756,"FORT MORGAN","MORGAN COUNTY","CO",80701,26332
"CEMEX CONSTRUCTION MATERIALS SOUTH LLC",1007877,"5134 UTE HIGHWAY",40.202236,-105.236697,"LYONS","BOULDER","CO",80540,4161
"CF & I STEEL L P/ DBA ROCKY MOUNTAIN STEEL MILLS",1003902,"2100 SOUTH FREEWAY",38.232627,-104.607257,"PUEBLO","PUEBLO","CO",81004,151967
