"FIPS","State","County","Frequent_Physical_Distress","Frequent_Mental_Distress","Diabetic","Food_Insecure","Limited_Access_Healthy_Food","Insufficient_Sleep","Uninsured","Uninsured_Children","Household_Income_Median","Rural"
"01001","Alabama","Autauga",13,13,11,14,10,38,17,4,54366,42.0
"01003","Alabama","Baldwin",12,13,11,14,5,33,22,6,49626,42.3
"01005","Alabama","Barbour",15,15,15,22,11,40,23,5,34971,67.8
"01007","Alabama","Bibb",15,14,13,16,2,41,19,4,39546,68.4
"01009","Alabama","Blount",14,14,12,12,1,36,22,6,45567,90.0
"01011","Alabama","Bullock",17,16,17,24,20,44,24,5,26580,51.4
"01013","Alabama","Butler",17,16,16,22,3,41,20,4,32512,71.2
"01015","Alabama","Calhoun",15,15,13,18,10,39,20,4,41123,33.7
"01017","Alabama","Chambers",16,16,15,21,9,40,21,4,34116,49.1
"01019","Alabama","Cherokee",14,14,13,15,0,34,20,5,38013,85.7
"01021","Alabama","Chilton",14,14,12,14,2,39,24,6,41450,86.7
"01023","Alabama","Choctaw",15,15,16,19,12,43,20,5,35049,100.0
"01025","Alabama","Clarke",16,16,16,23,11,39,20,4,36620,76.0
"01027","Alabama","Clay",15,15,14,17,2,36,24,7,35940,100.0
"01029","Alabama","Cleburne",13,13,11,14,1,33,21,5,40418,100.0
"01031","Alabama","Coffee",15,14,12,16,7,35,21,5,46931,47.2
"01033","Alabama","Colbert",14,14,13,16,5,36,18,4,43057,43.9
"01035","Alabama","Conecuh",19,17,19,23,15,41,23,5,29101,80.9
"01037","Alabama","Coosa",16,15,16,18,7,39,21,6,34679,100.0
"01039","Alabama","Covington",15,15,13,16,3,36,22,5,36149,69.7
"01041","Alabama","Crenshaw",15,15,14,17,16,39,21,6,34445,100.0
"01043","Alabama","Cullman",14,14,12,14,3,35,24,6,39922,73.2
"01045","Alabama","Dale",14,14,12,17,10,41,19,4,41940,50.9
"01047","Alabama","Dallas",20,18,19,29,12,44,19,3,26602,45.6
"01049","Alabama","DeKalb",15,15,12,13,2,36,29,8,36241,90.1
"01051","Alabama","Elmore",12,13,11,15,7,34,15,5,54298,54.2
"01053","Alabama","Escambia",17,16,15,20,8,39,24,5,37077,63.5
"01055","Alabama","Etowah",15,15,13,16,9,40,20,5,39904,37.5
"01057","Alabama","Fayette",15,15,13,17,1,37,19,4,35664,80.2
"01059","Alabama","Franklin",16,15,12,15,4,38,26,6,33881,70.4
"01061","Alabama","Geneva",15,15,13,16,1,36,24,5,34425,89.6
"01063","Alabama","Greene",21,19,23,27,21,47,22,5,26504,100.0
"01065","Alabama","Hale",18,17,17,23,0,43,21,5,33315,89.2
"01067","Alabama","Henry",13,14,14,16,1,37,21,6,39930,87.8
"01069","Alabama","Houston",15,14,13,17,7,38,20,4,40124,33.8
"01071","Alabama","Jackson",15,15,13,14,4,35,23,5,36923,77.0
"01073","Alabama","Jefferson",14,14,13,18,11,41,18,5,44852,9.8
"01075","Alabama","Lamar",15,15,13,17,0,36,20,5,34553,100.0
"01077","Alabama","Lauderdale",14,14,12,15,6,37,19,4,41324,49.3
"01079","Alabama","Lawrence",14,14,12,15,2,36,23,6,41574,91.3
"01081","Alabama","Lee",14,14,10,18,11,38,20,5,41256,27.4
"01083","Alabama","Limestone",13,13,11,14,4,36,20,5,51175,57.6
"01085","Alabama","Lowndes",18,17,19,26,26,44,19,6,30675,100.0
"01087","Alabama","Macon",18,17,18,25,19,46,20,4,28518,55.5
"01089","Alabama","Madison",13,13,11,15,8,38,17,4,58833,16.4
"01091","Alabama","Marengo",18,16,18,21,15,44,20,5,32977,69.3
"01093","Alabama","Marion",15,15,13,16,1,37,20,4,37707,88.9
"01095","Alabama","Marshall",15,15,12,14,7,35,29,5,36536,53.3
"01097","Alabama","Mobile",15,15,14,19,11,40,21,4,42943,20.0
"01099","Alabama","Monroe",17,16,16,23,17,41,24,5,34733,79.0
"01101","Alabama","Montgomery",15,15,14,21,11,40,20,4,43054,10.5
"01103","Alabama","Morgan",13,14,11,14,4,36,22,6,45082,38.6
"01105","Alabama","Perry",20,19,20,26,6,45,20,4,27403,100.0
"01107","Alabama","Pickens",16,16,16,21,2,40,21,5,31933,100.0
"01109","Alabama","Pike",16,16,12,21,6,43,21,6,31844,51.7
"01111","Alabama","Randolph",15,15,14,18,2,35,24,5,36939,81.3
"01113","Alabama","Russell",16,15,13,20,8,42,22,4,35585,35.4
"01115","Alabama","St. Clair",13,13,11,13,1,36,18,5,50571,72.8
"01117","Alabama","Shelby",11,12,9,11,4,34,15,5,69432,22.9
"01119","Alabama","Sumter",19,18,19,28,11,43,21,5,25413,100.0
"01121","Alabama","Talladega",16,15,15,19,6,40,19,4,39999,55.8
"01123","Alabama","Tallapoosa",15,15,14,18,5,39,20,4,36779,74.2
"01125","Alabama","Tuscaloosa",14,14,11,18,7,38,19,4,46892,25.5
"01127","Alabama","Walker",15,15,13,16,4,40,20,4,37245,74.1
"01129","Alabama","Washington",14,14,14,17,3,39,20,6,41321,100.0
"01131","Alabama","Wilcox",20,19,21,30,28,45,22,5,24035,100.0
"01133","Alabama","Winston",15,15,13,17,1,35,21,4,35528,84.9
"02013","Alaska","Aleutians East",11,8,10,18,22,39,43,25,55462,100.0
"02016","Alaska","Aleutians West",10,8,9,16,8,36,30,17,68387,100.0
"02020","Alaska","Anchorage",9,8,7,12,5,32,21,11,75200,4.1
"02050","Alaska","Bethel",18,14,13,21,39,38,38,12,45808,73.9
"02060","Alaska","Bristol Bay",10,9,9,12,7,34,25,14,75364,100.0
"02068","Alaska","Denali",9,8,7,14,19,32,25,14,69692,100.0
"02070","Alaska","Dillingham",15,13,12,18,17,36,35,13,51082,100.0
"02090","Alaska","Fairbanks North Star",9,8,6,13,10,32,22,11,67801,30.9
"02100","Alaska","Haines",10,9,10,15,5,30,33,21,67260,100.0
"02110","Alaska","Juneau",8,8,7,11,6,28,20,11,80835,21.5
"02122","Alaska","Kenai Peninsula",10,9,8,13,6,29,27,13,62532,79.3
"02130","Alaska","Ketchikan Gateway",10,9,9,14,1,31,26,14,57776,23.2
"02150","Alaska","Kodiak Island",9,8,8,13,4,32,32,16,67972,31.3
"02164","Alaska","Lake and Peninsula",15,13,12,17,46,38,39,16,45570,100.0
"02170","Alaska","Matanuska-Susitna",9,9,7,12,6,32,25,12,73981,50.3
"02180","Alaska","Nome",17,15,13,21,36,39,39,13,47160,66.1
"02185","Alaska","North Slope",11,10,9,14,4,35,30,15,75682,59.3
"02188","Alaska","Northwest Arctic",16,14,12,21,32,37,39,16,65192,57.5
"02201","Alaska","Prince of Wales-Outer Ketchikan",13,11,11,18,8,35,35,18,43245,100.0
"02220","Alaska","Sitka",9,9,8,13,6,31,28,14,65765,20.9
"02232","Alaska","Skagway-Hoonah-Angoon",11,10,11,18,22,32,32,19,57496,100.0
"02240","Alaska","Southeast Fairbanks",10,9,9,16,9,32,32,15,59641,100.0
"02261","Alaska","Valdez-Cordova",10,9,8,13,11,32,26,16,73998,100.0
"02270","Alaska","Wade Hampton",22,18,14,26,44,42,43,10,30877,100.0
"02280","Alaska","Wrangell-Petersburg",10,9,9,15,2,31,26,16,54749,100.0
"02282","Alaska","Yakutat",10,9,10,16,0,33,39,23,52595,100.0
"02290","Alaska","Yukon-Koyukuk",16,14,15,21,50,34,42,15,36708,100.0
"04001","Arizona","Apache",19,19,17,28,44,38,28,15,32366,74.1
"04003","Arizona","Cochise",13,12,11,16,12,33,20,13,45025,36.3
"04005","Arizona","Coconino",12,13,9,20,13,31,24,13,48653,31.5
"04007","Arizona","Gila",13,13,12,18,12,33,22,13,37677,41.1
"04009","Arizona","Graham",13,12,11,16,14,37,21,12,46046,46.4
"04011","Arizona","Greenlee",12,11,10,14,26,34,13,8,59416,46.6
"04012","Arizona","La Paz",13,13,15,18,19,30,31,18,32533,56.3
"04013","Arizona","Maricopa",11,11,9,16,4,33,23,12,53929,2.4
"04015","Arizona","Mohave",13,12,12,19,17,34,25,14,37704,23.0
"04017","Arizona","Navajo",16,16,14,24,18,35,27,12,35457,54.1
"04019","Arizona","Pima",11,11,9,16,7,31,22,12,45871,7.5
"04021","Arizona","Pinal",12,11,11,16,5,34,23,15,49876,21.9
"04023","Arizona","Santa Cruz",14,13,14,15,11,31,29,15,37465,26.9
"04025","Arizona","Yavapai",11,11,10,18,12,30,24,15,44145,33.2
"04027","Arizona","Yuma",13,12,12,22,11,34,29,15,39700,10.4
"05001","Arkansas","Arkansas",14,13,13,20,8,35,23,6,36409,34.7
"05003","Arkansas","Ashley",15,14,14,22,11,38,22,6,36176,51.7
"05005","Arkansas","Baxter",14,13,14,17,5,32,23,7,37873,65.8
"05007","Arkansas","Benton",12,12,9,14,6,32,23,7,57408,25.2
"05009","Arkansas","Boone",13,13,12,18,11,33,23,6,39779,62.2
"05011","Arkansas","Bradley",18,15,16,22,5,39,31,7,32734,49.6
"05013","Arkansas","Calhoun",14,13,14,20,32,35,23,7,39493,100.0
"05015","Arkansas","Carroll",14,13,13,15,4,32,32,10,36964,72.8
"05017","Arkansas","Chicot",18,16,18,27,3,41,27,7,29541,54.3
"05019","Arkansas","Clark",14,14,11,23,4,37,22,5,38504,54.4
"05021","Arkansas","Clay",14,14,12,21,5,34,25,6,33826,58.9
"05023","Arkansas","Cleburne",13,12,13,17,5,31,25,7,40555,75.5
"05025","Arkansas","Cleveland",13,12,12,19,9,33,23,7,43201,100.0
"05027","Arkansas","Columbia",15,14,13,24,7,39,24,6,37495,57.5
"05029","Arkansas","Conway",14,13,13,20,9,34,24,6,42348,70.5
"05031","Arkansas","Craighead",14,13,10,20,10,35,25,6,42851,32.2
"05033","Arkansas","Crawford",14,13,11,18,10,33,26,7,43466,52.0
"05035","Arkansas","Crittenden",16,15,14,27,4,39,22,4,35455,20.9
"05037","Arkansas","Cross",15,14,13,21,8,36,22,5,38597,56.8
"05039","Arkansas","Dallas",15,13,16,24,10,37,23,5,34018,52.6
"05041","Arkansas","Desha",17,15,17,27,16,38,24,6,33028,31.4
"05043","Arkansas","Drew",16,15,14,25,7,37,23,5,36801,48.6
"05045","Arkansas","Faulkner",12,12,9,18,9,35,20,5,51436,38.8
"05047","Arkansas","Franklin",15,13,12,18,6,34,24,6,40404,82.6
"05049","Arkansas","Fulton",14,13,14,18,9,32,27,9,33347,92.9
"05051","Arkansas","Garland",14,13,13,19,12,34,27,7,40621,36.9
"05053","Arkansas","Grant",12,12,10,15,4,33,21,6,46067,75.0
"05055","Arkansas","Greene",13,13,10,19,8,33,23,5,42572,41.5
"05057","Arkansas","Hempstead",16,15,15,21,11,37,29,7,33136,55.8
"05059","Arkansas","Hot Spring",13,12,11,18,9,34,22,6,37831,66.0
"05061","Arkansas","Howard",16,15,14,20,7,36,31,9,37336,67.5
"05063","Arkansas","Independence",14,13,12,20,8,33,27,6,41085,68.6
"05065","Arkansas","Izard",15,13,14,19,3,34,26,8,32744,100.0
"05067","Arkansas","Jackson",15,14,13,23,9,36,25,5,32427,65.1
"05069","Arkansas","Jefferson",15,14,16,26,7,41,20,4,35927,30.9
"05071","Arkansas","Johnson",15,14,12,18,4,33,29,7,34923,71.4
"05073","Arkansas","Lafayette",16,14,16,24,9,36,28,7,32225,100.0
"05075","Arkansas","Lawrence",15,14,12,21,13,34,24,5,34916,63.6
"05077","Arkansas","Lee",18,16,17,29,16,40,25,5,28006,63.5
"05079","Arkansas","Lincoln",15,14,13,23,21,39,24,7,37644,100.0
"05081","Arkansas","Little River",14,13,13,18,4,35,23,6,37691,68.5
"05083","Arkansas","Logan",13,13,12,18,7,34,24,6,36391,71.0
"05085","Arkansas","Lonoke",12,12,10,16,6,32,20,5,54459,44.8
"05087","Arkansas","Madison",15,14,13,17,12,35,30,10,39158,100.0
"05089","Arkansas","Marion",14,14,14,18,6,33,24,7,33181,100.0
"05091","Arkansas","Miller",15,13,12,21,10,36,23,5,40877,40.0
"05093","Arkansas","Mississippi",16,15,14,25,7,40,23,5,33577,36.3
"05095","Arkansas","Monroe",18,16,18,25,6,38,24,6,30682,69.0
"05097","Arkansas","Montgomery",14,13,14,18,10,31,29,8,34597,100.0
"05099","Arkansas","Nevada",18,16,17,22,11,38,23,6,30935,69.2
"05101","Arkansas","Newton",15,14,14,18,15,32,28,8,35895,100.0
"05103","Arkansas","Ouachita",15,14,16,24,15,36,21,5,34971,56.4
"05105","Arkansas","Perry",13,12,11,18,5,34,24,7,40556,100.0
"05107","Arkansas","Phillips",19,16,18,30,24,40,24,4,28171,48.0
"05109","Arkansas","Pike",15,14,12,19,9,34,33,10,36893,100.0
"05111","Arkansas","Poinsett",15,14,13,22,5,33,24,5,35851,71.1
"05113","Arkansas","Polk",15,14,13,18,19,34,30,8,33127,73.4
"05115","Arkansas","Pope",14,13,10,18,6,32,25,6,39909,54.5
"05117","Arkansas","Prairie",14,14,14,19,2,35,26,8,39896,100.0
"05119","Arkansas","Pulaski",12,12,12,21,10,35,22,5,45698,12.3
"05121","Arkansas","Randolph",14,13,12,19,14,34,26,6,37761,67.4
"05123","Arkansas","St. Francis",18,15,16,28,15,39,24,5,30489,51.6
"05125","Arkansas","Saline",11,11,10,15,6,34,19,5,55915,36.2
"05127","Arkansas","Scott",15,13,13,17,7,35,30,8,33202,70.4
"05129","Arkansas","Searcy",15,14,14,19,19,34,31,8,31765,100.0
