longitude,latitude
-104.989557092,39.7801079332
-105.0531140115,39.6533449772
-105.0150563724,39.7293215695
-104.9406588901,39.7413863383
-105.0129211742,39.7552033051
-105.0017218014,39.7245631904
-104.9217361611,39.6530931817
-104.9991330196,39.7112046092
-104.9575461124,39.6756961527
-104.882791207,39.774119891
-105.0252245624,39.7766417024
-104.8326157238,39.7867194909
-104.8326157238,39.7867194909
-104.9759051241,39.7522957276
-104.9759051241,39.7522957276
-104.9899360321,39.7448873683
-104.9882181833,39.7537087116
-104.9843814055,39.7526323265
-104.9396146031,39.7366536893
-104.9396146031,39.7366536893
-104.9172109433,39.6546407306
-104.9864282631,39.7027455929
-104.8087234536,39.7894287014
-104.8087234536,39.7894287014
-105.0277719089,39.7636303382
-104.9118347347,39.7798442667
-104.8453370884,39.7698854389
-105.0089421945,39.763413452
-104.8977420033,39.6528763015
-104.8977420033,39.6528763015
-105.012181292,39.7272387546
-104.9882534385,39.755704672
-104.8912952205,39.6328567013
-105.0225611412,39.7635764229
-104.9877258935,39.753423813
-104.84596382,39.7839501801
-104.9212177742,39.6800331274
-104.9127961352,39.7368471684
-104.9401636583,39.7829333933
-104.9128820366,39.7784081365
-104.971496777,39.7338503524
-104.9849289946,39.7233405944
-105.0532613123,39.7256541686
-104.9034553929,39.7401439402
-104.8470371201,39.7740066324
-104.959748568,39.7657436143
-105.0531238575,39.7394184031
-104.9873088742,39.7401603133
-104.9875776717,39.7111575819
-104.8916814027,39.7401550403
-105.053206806,39.7403521054
-104.9656154834,39.7819508197
-105.048123029,39.7004191057
-104.9483972312,39.7291295074
-105.0477278598,39.7253392838
-104.9292340749,39.7364860624
-104.9715346152,39.7415702294
-104.9721763308,39.7111141847
-104.8972028892,39.7303388473
-104.9090960371,39.6530989418
-104.9874363409,39.7256383655
-104.9751070236,39.7398594436
-105.0139660722,39.7404354069
-104.9874139658,39.7384312525
-104.9832021087,39.732386955
-104.9594508323,39.6848633509
-104.8816305274,39.6520132276
-105.013229296,39.7256765347
-105.0531941879,39.6859570072
-104.9929466523,39.6966609452
-104.9634884993,39.7883594823
-104.9430282326,39.6893164943
-104.9034502219,39.7474408659
-104.8470358671,39.7710856667
-104.9404951011,39.7610251833
-105.0532613123,39.7256541686
-104.9948785683,39.7699186261
-104.8147045417,39.7943793486
-104.9222927323,39.7779797611
-104.9017435351,39.781997746
-104.9605169353,39.6811455817
-104.9964509073,39.7421928509
-104.9594508323,39.6848633509
-104.9656953629,39.7383318929
-104.9909926702,39.765174588
-105.0007266307,39.7490000978
-104.692908306,39.8379736422
-104.692908306,39.8379736422
-104.9262814731,39.6488326904
-104.9036908712,39.6685335088
-105.0329837287,39.7409269537
-105.0203892658,39.7075156801
-104.9861273354,39.732040136
-104.9861273354,39.732040136
-105.0134569003,39.7256664947
-104.9035934947,39.6766510121
-105.0250608315,39.6894842733
-104.9975844918,39.7289023531
-105.0250608315,39.6894842733
-105.0252245624,39.7766417024
-104.9850999356,39.7019884366
-104.9792285171,39.7111071856
-104.9497950042,39.7789268295
-104.9497950042,39.7789268295
-105.0532682264,39.6782319751
-105.0287401155,39.7384749897
-105.0346011009,39.7892467373
-105.0346011009,39.7892467373
-104.9406923413,39.7255983803
-104.7697666994,39.7835647209
-105.0181692512,39.7326698636
-104.9872620789,39.7339146187
-104.9548763792,39.7619189834
-104.987452864,39.7209440027
-104.9187745983,39.7401437362
-105.0430639572,39.7039711889
-104.9034330878,39.7783002429
-104.8470371201,39.7740066324
-104.9085993012,39.6766570831
-105.0227103401,39.7111571439
-104.9216447686,39.7038623023
-104.99763391,39.7502991682
-104.6982483144,39.8379217229
-104.6982483144,39.8379217229
-104.9246189446,39.6690464127
-104.9540500735,39.6781748008
-104.9582973877,39.6927090097
-105.0131136253,39.7420012318
-104.8459885261,39.7755690233
-105.013410082,39.7433531286
-104.9805661637,39.7515449293
-104.8648421246,39.7774070878
-104.8819247521,39.778851268
-104.9281738609,39.7416967521
-104.8819247521,39.778851268
-105.0240128695,39.6910463642
-104.9000875097,39.7239131087
-104.9000875097,39.7239131087
-104.9641621111,39.6836597561
-104.9641621111,39.6836597561
-105.04321542,39.6910564693
-105.01726441,39.7237429607
-104.9658122805,39.7816905522
-104.9110258771,39.6769078066
-104.9023917158,39.7501918196
-105.0053801992,39.7848279191
-105.0032856993,39.7625112878
-104.8459885261,39.7755690233
-104.9953941973,39.7088047925
-104.8582161158,39.7798886209
-104.8602856487,39.7999347103
-104.8602856487,39.7999347103
-104.9015694561,39.7127032817
-104.9641688312,39.6818451177
-104.8836119307,39.7402642319
-104.8836119307,39.7402642319
-104.7706591064,39.8308174294
-105.041111892,39.6910428072
-105.041111892,39.6910428072
-104.974476756,39.7468839317
-104.9065273554,39.6980490891
-104.9871343022,39.6800091273
-104.9982760457,39.7701712945
-105.0521960323,39.7310679495
-104.9895320888,39.7304893702
-104.9939224669,39.7695789411
-104.9661201373,39.7814448748
-104.7894296335,39.7851988672
-104.9390760211,39.7747252955
-105.0240473437,39.7127344559
-104.9759151212,39.749048118
-104.8937487605,39.6398454162
-104.9395600258,39.7559802066
-105.0242394798,39.7762744563
-104.7853298281,39.7999463653
-104.7853298281,39.7999463653
-104.9879072946,39.7573256172
-104.991130222,39.6909583667
-104.9993057746,39.7090465889
-104.8836044597,39.7435475677
-105.0240895009,39.7269881852
-104.8969011635,39.7712503117
-104.8091297689,39.789362451
-104.8091297689,39.789362451
-104.9932243129,39.7558963411
-104.9939037038,39.7672454008
-105.0148205341,39.7708444504
-104.972370772,39.6915621852
-105.0252178074,39.707317204
-104.9939037038,39.7672454008
-105.0032856993,39.7625112878
-104.9458422356,39.7352586974
-104.9458422356,39.7352586974
-104.9034330878,39.7783002429
-104.9406063178,39.7123107345
-104.9663291625,39.7111152537
-104.9594483362,39.6847260732
-105.0239548652,39.780243797
-104.9889298704,39.6958254545
-104.9408358461,39.7067031645
-104.9723417768,39.7255084918
-104.7862636775,39.800236234
-104.7817003104,39.7836326343
-104.7775425187,39.7838048563
-104.9826022543,39.7226056272
-104.9406796782,39.6683282346
-104.9407109644,39.6733194171
-104.9391176023,39.711340043
-104.9671683043,39.7798824629
-105.0255802784,39.7377512686
-105.0247492817,39.6803932754
-105.0134569003,39.7256664947
-104.9597981602,39.7334540641
-104.9597981602,39.7334540641
-104.9872996151,39.740454016
-104.701330313,39.8379569031
-105.0034304131,39.7795084078
-105.0299308173,39.7603044972
-105.0299308173,39.7603044972
-104.9451589887,39.7492618603
-105.0250567595,39.6858851518
-104.904172295,39.6285496137
-104.9308909284,39.6528029371
-104.9955052879,39.7045811734
-104.9671683043,39.7798824629
-104.9610203472,39.7368171433
-105.0020590693,39.7486708199
-105.0020590693,39.7486708199
-104.8853532976,39.6279859445
-104.9597831022,39.743257368
-104.9312888856,39.678215827
-104.9210974465,39.6530241483
-104.9211358157,39.7401389042
-104.7697666994,39.7835647209
-104.8296115467,39.7725003748
-104.9256757356,39.6529862141
-105.0095242229,39.7450729404
-104.9222933593,39.7619310405
-104.9541561561,39.7383777612
-104.7669401432,39.7894741846
-104.9868864247,39.7371469122
-104.9868864247,39.7371469122
-104.8470388371,39.7742043005
-104.9871828704,39.7073014619
-104.989563049,39.7802671831
-104.9405526005,39.682938323
-104.989560326,39.7840610697
-104.989560326,39.7840610697
-104.9857597973,39.7293097245
-104.9556726497,39.718001045
-104.9891934479,39.7802079298
-105.013229296,39.7256765347
-104.9787270152,39.7384205424
-104.847030155,39.7766640035
-104.9205103682,39.6979131024
-104.9822999096,39.7351529708
-105.0064255582,39.7831392035
-104.9596684645,39.7613673213
-104.9596684645,39.7613673213
-104.9680994726,39.7429768004
-104.898740843,39.7437958771
-104.9216405416,39.7815618395
-104.9127954982,39.7292784063
